cntry,news,polintr,vote,age,gndr,eduyrs,edutype,pdwrk,hincfel,pstplonl,contplt,netusoft,netustm,trstplt,trstprt,cptppola
SE,30,2,1,31,Female,15,Universitetsuddannelse,1,1,1,2,5,480,7,8,4
SE,60,2,1,77,Female,17,Universitetsuddannelse,0,2,2,2,5,120,7,3,3
SE,180,2,1,76,Female,18,Universitetsuddannelse,0,4,2,1,5,120,6,6,3
SE,120,2,1,61,Male,17,Universitetsuddannelse,0,1,2,1,5,60,5,5,2
SE,90,1,1,35,Male,13,Videregående uddannelse,1,2,2,2,5,300,5,6,4
SE,30,3,1,80,Male,15,Gymnasial uddannelse,0,1,2,2,5,120,7,6,2
SE,20,3,1,47,Female,18,Universitetsuddannelse,1,1,2,2,5,120,4,5,1
SE,120,2,1,76,Male,9,Grundskole,0,2,2,2,3,NA,3,3,1
SE,40,3,1,65,Female,13,Videregående uddannelse,1,2,NA,2,5,60,3,3,1
SE,60,2,1,66,Male,13,Videregående uddannelse,1,1,2,1,5,240,7,6,3
SE,10,2,1,37,Female,19,Universitetsuddannelse,1,1,1,1,5,420,7,7,3
SE,60,2,1,61,Female,15,Videregående uddannelse,0,2,2,2,5,15,5,5,2
SE,20,3,1,60,Male,15,Videregående uddannelse,1,1,2,2,5,180,5,5,3
SE,30,2,1,88,Male,20,Universitetsuddannelse,0,1,2,2,1,NA,4,5,3
SE,30,3,1,65,Male,12,Gymnasial uddannelse,1,1,2,1,5,180,5,4,3
SE,90,1,1,62,Male,20,Videregående uddannelse,1,1,2,2,5,360,NA,7,3
SE,60,2,1,66,Male,14,Videregående uddannelse,0,2,2,2,5,15,7,7,3
SE,120,2,1,90,Female,NA,Grundskole,0,2,2,2,1,NA,3,4,1
SE,120,2,1,56,Female,11,Gymnasial uddannelse,1,1,2,2,5,600,4,4,3
SE,105,2,1,71,Female,13,Videregående uddannelse,1,2,2,2,5,60,3,3,2
SE,0,2,1,59,Male,12,Videregående uddannelse,1,2,2,2,5,45,3,3,2
SE,60,2,1,45,Male,13,Videregående uddannelse,1,1,2,2,5,600,8,8,1
